2018/11/04 23:24:32 loader.go:77: Connecting to zero at localhost:5080
2018/11/04 23:24:32 Replaying from value pointer: {Fid:0 Len:0 Offset:0}
2018/11/04 23:24:32 Iterating file id: 0
2018/11/04 23:24:32 Iteration took: 24.291µs
processing file (1 out of 1): /home/iderr/workspace/graphdb-benchmarks/databases/dgraph/../../data/21million.rdf.gz
REDUCE 01m47s [62.56%] edge_count:26.57M edge_speed:1.476M/sec plist_count:5.976M plist_speed:331.8k/sec
REDUCE 01m48s [64.34%] edge_count:27.33M edge_speed:1.438M/sec plist_count:6.363M plist_speed:334.8k/sec
REDUCE 01m49s [65.97%] edge_count:28.03M edge_speed:1.401M/sec plist_count:6.844M plist_speed:342.1k/sec
REDUCE 01m50s [67.04%] edge_count:28.48M edge_speed:1.356M/sec plist_count:7.268M plist_speed:345.9k/sec
REDUCE 01m51s [68.08%] edge_count:28.92M edge_speed:1.314M/sec plist_count:7.683M plist_speed:349.1k/sec
REDUCE 01m52s [69.39%] edge_count:29.48M edge_speed:1.281M/sec plist_count:8.205M plist_speed:356.6k/sec
REDUCE 01m53s [70.57%] edge_count:29.98M edge_speed:1.249M/sec plist_count:8.674M plist_speed:361.3k/sec
REDUCE 01m54s [71.75%] edge_count:30.48M edge_speed:1.219M/sec plist_count:9.144M plist_speed:365.6k/sec
REDUCE 01m55s [73.04%] edge_count:31.03M edge_speed:1.193M/sec plist_count:9.656M plist_speed:371.2k/sec
REDUCE 01m56s [74.34%] edge_count:31.58M edge_speed:1.169M/sec plist_count:10.17M plist_speed:376.4k/sec
REDUCE 01m57s [75.75%] edge_count:32.18M edge_speed:1.149M/sec plist_count:10.58M plist_speed:377.5k/sec
REDUCE 01m58s [79.86%] edge_count:33.93M edge_speed:1.169M/sec plist_count:11.02M plist_speed:379.8k/sec
REDUCE 01m59s [82.00%] edge_count:34.84M edge_speed:1.161M/sec plist_count:11.50M plist_speed:383.3k/sec
REDUCE 02m00s [83.22%] edge_count:35.35M edge_speed:1.140M/sec plist_count:12.02M plist_speed:387.6k/sec
